Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
41679.8 1200.17 608.813 1.57071 2.15277e-05 1.37877e-05 -1.97815e-10 1.37877e-05 0.034898 4.33018e-09 -1.97815e-10 4.33018e-09 1.14738e-11  
41679.8 1200.18 613.007 1.57045 2.30548e-05 1.40176e-05 -2.17343e-10 1.40176e-05 0.0355529 4.42659e-09 -2.17343e-10 4.42659e-09 1.15133e-11  
41679.8 1200.18 617.061 1.5707 2.46012e-05 1.31216e-05 -2.37406e-10 1.31216e-05 0.0361577 4.51547e-09 -2.37406e-10 4.51547e-09 1.15482e-11  
41679.8 1200.11 515.297 1.57073 3.1182e-05 8.89999e-06 -3.20763e-10 8.89999e-06 0.0295081 2.22766e-09 -3.20763e-10 2.22766e-09 1.16191e-11  
41679.8 1200.12 516.427 1.57073 3.29919e-05 8.51697e-06 -3.41946e-10 8.51697e-06 0.0297546 2.24625e-09 -3.41946e-10 2.24625e-09 1.16191e-11  
41679.8 1200.12 517.358 1.57048 3.45202e-05 8.68667e-06 -3.61804e-10 8.68667e-06 0.0299682 2.26957e-09 -3.61804e-10 2.26957e-09 1.1656e-11  
41679.8 1200.12 518.271 1.57048 3.60531e-05 8.6953e-06 -3.81885e-10 8.6953e-06 0.0301678 2.28469e-09 -3.81885e-10 2.28469e-09 1.16561e-11  
41679.8 1200.09 247.905 1.57046 4.06705e-05 1.58182e-05 -4.43279e-10 1.58182e-05 0.0564024 -3.54662e-09 -4.43279e-10 -3.54662e-09 1.17125e-11  
41679.8 1200.1 246.673 1.57047 4.23047e-05 1.58957e-05 -4.63877e-10 1.58957e-05 0.0569267 -3.5796e-09 -4.63877e-10 -3.5796e-09 1.17126e-11  
41679.8 1200.1 245.469 1.57072 4.3766e-05 1.52362e-05 -4.83793e-10 1.52362e-05 0.0574071 -3.62108e-09 -4.83793e-10 -3.62108e-09 1.1749e-11  
41679.8 1200.11 244.39 1.57071 4.53103e-05 1.4866e-05 -5.04032e-10 1.4866e-05 0.0578679 -3.65018e-09 -5.04032e-10 -3.65018e-09 1.1749e-11  
41680.8 1200.01 433.088 1.57079 4.97896e-05 6.64739e-05 -5.6649e-10 6.64739e-05 0.278347 -3.80949e-11 -5.6649e-10 -3.80949e-11 1.18255e-11  
41680.8 1200.01 434.702 1.57054 5.13078e-05 6.96735e-05 -5.86745e-10 6.96735e-05 0.286807 -3.93728e-11 -5.86745e-10 -3.93728e-11 1.18624e-11  
41680.8 1200.01 436.319 1.57079 5.27837e-05 6.85441e-05 -6.07134e-10 6.85441e-05 0.295293 -4.06722e-11 -6.07134e-10 -4.06722e-11 1.19011e-11  
41680.8 1200.01 437.979 1.5708 5.44072e-05 6.84612e-05 -6.28115e-10 6.84612e-05 0.303994 -4.18741e-11 -6.28115e-10 -4.18741e-11 1.19011e-11  
41680.8 1200.33 682.86 1.57068 6.03575e-05 8.9328e-06 -7.02799e-10 8.9328e-06 0.0428252 5.14461e-09 -7.02799e-10 5.14461e-09 1.20522e-11  
41680.8 1200.34 683.789 1.57068 6.18029e-05 8.7235e-06 -7.23107e-10 8.7235e-06 0.0429567 5.16038e-09 -7.23107e-10 5.16038e-09 1.20522e-11  
41680.8 1200.35 684.699 1.57068 6.33474e-05 8.51506e-06 -7.43861e-10 8.51506e-06 0.0430854 5.17582e-09 -7.43861e-10 5.17582e-09 1.20522e-11  
41680.8 1200.35 685.452 1.57042 6.48701e-05 8.70862e-06 -7.64312e-10 8.70862e-06 0.0432074 5.20725e-09 -7.64312e-10 5.20725e-09 1.20911e-11  
41680.8 1200.31 360.284 1.56759 7.65282e-05 1.10241e-05 -8.41416e-10 1.10241e-05 0.0297209 -2.67778e-09 -8.41416e-10 -2.67778e-09 1.66361e-11  
41680.8 1200.33 359.803 1.57031 7.87293e-05 1.00054e-05 -8.73194e-10 1.00054e-05 0.0297773 -3.4159e-09 -8.73194e-10 -3.4159e-09 2.11804e-11  
41681.8 1200.31 253.186 1.57064 8.30812e-05 1.09176e-05 -9.82194e-10 1.09176e-05 0.0336464 -7.70363e-09 -9.82194e-10 -7.70363e-09 2.12965e-11  
41681.8 1200.31 253.09 1.57038 8.46129e-05 1.09937e-05 -1.0185e-09 1.09937e-05 0.0336971 -7.72968e-09 -1.0185e-09 -7.72968e-09 2.13364e-11  
41681.8 1200.32 252.903 1.57039 8.61415e-05 1.09785e-05 -1.05509e-09 1.09785e-05 0.0337462 -7.74095e-09 -1.05509e-09 -7.74095e-09 2.13364e-11  
41681.8 1200.33 252.634 1.57063 8.76135e-05 1.07325e-05 -1.09136e-09 1.07325e-05 0.0337934 -7.76502e-09 -1.09136e-09 -7.76502e-09 2.13728e-11  
41681.8 1200.02 468.025 1.57052 9.38174e-05 0.000145979 -1.22296e-09 0.000145979 0.483548 -2.81549e-10 -1.22296e-09 -2.81549e-10 2.14937e-11  
