Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
59174.1 1200 380.005 1.5708 4.33415e-14 -6.66521e-11 -6.82639e-23 -6.66521e-11 2.66921e-05 -7.43718e-27 -6.82639e-23 -7.43718e-27 1.66234e-18  
59174.1 1200 380.011 1.5708 1.0247e-13 -4.2e-11 -9.74084e-21 -4.2e-11 5.55632e-05 -7.56094e-27 -9.74084e-21 -7.56094e-27 3.32469e-18  
59174.1 1200 380.087 1.57082 1.22334e-10 -1.36981e-08 -4.63414e-19 -1.36981e-08 0.000432794 -3.23488e-22 -4.63414e-19 -3.23488e-22 3.52833e-16  
59174.1 1200 380.314 1.57081 3.64032e-09 -2.41821e-08 -8.09468e-17 -2.41821e-08 0.00157184 -1.80681e-21 -8.09468e-17 -1.80681e-21 4.12677e-16  
59174.1 1200 380.69 1.57081 1.92967e-08 -5.09258e-08 -2.35879e-16 -5.09258e-08 0.00344901 -4.01413e-21 -2.35879e-16 -4.01413e-21 4.12677e-16  
59174.1 1200 381.199 1.57079 5.85431e-08 -1.35289e-08 -4.46862e-16 -1.35289e-08 0.00599484 -3.91609e-21 -4.46862e-16 -3.91609e-21 6.32522e-16  
59174.1 1200 381.865 1.5708 1.45691e-07 -5.1174e-08 -8.68375e-16 -5.1174e-08 0.009324 -4.3455e-21 -8.68375e-16 -4.3455e-21 7.02756e-16  
59174.1 1200 382.782 1.5692 4.53824e-07 1.13599e-05 -1.21679e-14 1.13599e-05 0.013912 1.11361e-15 -1.21679e-14 1.11361e-15 1.51839e-12  
59174.1 1200 383.956 1.56998 8.91745e-07 1.3954e-05 -1.79712e-12 1.3954e-05 0.0197791 3.1019e-15 -1.79712e-12 3.1019e-15 1.8786e-12  
59174.1 1200 385.396 1.56839 1.97836e-06 3.73991e-05 -4.51952e-12 3.73991e-05 0.026981 9.17822e-15 -4.51952e-12 9.17822e-15 3.37256e-12  
59174.1 1200.01 387.21 1.57077 3.45615e-06 2.77798e-05 -1.06839e-11 2.77798e-05 0.0360516 9.5416e-15 -1.06839e-11 9.5416e-15 6.71743e-12  
59174.1 1200.01 388.728 1.57058 4.50714e-06 3.01631e-05 -2.08759e-11 3.01631e-05 0.0436376 1.07918e-14 -2.08759e-11 1.07918e-14 6.73904e-12  
59174.1 1200.01 390.38 1.57078 5.82215e-06 2.95186e-05 -3.2014e-11 2.95186e-05 0.0519013 1.21135e-14 -3.2014e-11 1.21135e-14 6.76219e-12  
59175.1 1200.01 392.065 1.57055 7.26249e-06 3.25124e-05 -4.34071e-11 3.25124e-05 0.0603251 1.3618e-14 -4.34071e-11 1.3618e-14 6.79159e-12  
