Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
33950 1194 394 1 0.297356 0.060141 0.000128119 0.060141 0.182644 8.67307e-05 0.000128119 8.67307e-05 1.84763e-07  
33950 1193 412 1 0.0912279 0.0234112 5.86319e-05 0.0234112 0.049919 4.49552e-05 5.86319e-05 4.49552e-05 1.12587e-07  
33950 1211 428 1 0.145989 -0.0198213 7.42784e-05 -0.0198213 0.060998 -3.55558e-05 7.42784e-05 -3.55558e-05 1.33242e-07  
33951 1209 438 1 0.185307 -0.0137669 8.27732e-05 -0.0137669 0.0623609 -2.09952e-05 8.27732e-05 -2.09952e-05 1.26233e-07  
33951 1191 449 1 0.077731 0.0192309 4.4719e-05 0.0192309 0.0491993 4.14659e-05 4.4719e-05 4.14659e-05 9.64235e-08  
33952 1209 467 1 0.13489 -0.0121597 4.79564e-05 -0.0121597 0.0575635 -2.67049e-05 4.79564e-05 -2.67049e-05 1.05321e-07  
33952 1193 479 1 0.161145 0.0315183 7.26247e-05 0.0315183 0.112102 5.48862e-05 7.26247e-05 5.48862e-05 1.26469e-07  
33952 0 0 1 nan nan nan nan nan nan nan nan nan  
33953 1191 502 1 0.105095 0.0108381 2.98809e-05 0.0108381 0.0487281 1.83118e-05 2.98809e-05 1.83118e-05 5.04861e-08  
33953 1209 516 1 0.144852 -0.0124425 6.0985e-05 -0.0124425 0.0777642 -2.06263e-05 6.0985e-05 -2.06263e-05 1.01097e-07  
33953 1209 523 1 0.172219 -0.0299693 7.65593e-05 -0.0299693 0.117808 -5.69266e-05 7.65593e-05 -5.69266e-05 1.45424e-07  
33954 1197 337 1 1.91535 -0.0313021 3.06422e-05 -0.0313021 127.949 -0.0021573 3.06422e-05 -0.0021573 2.11182e-06  
33954 1190 544 1 0.20996 0.036108 9.94927e-05 0.036108 0.078262 6.13477e-05 9.94927e-05 6.13477e-05 1.69039e-07  
33955 0 0 1 nan nan nan nan nan nan nan nan nan  
33955 1189 566 1 0.123151 0.0333281 6.32733e-05 0.0333281 0.113129 7.37352e-05 6.32733e-05 7.37352e-05 1.39986e-07  
33955 0 0 1 nan nan nan nan nan nan nan nan nan  
33955 1192 591 1 0.32277 0.0391317 0.000139581 0.0391317 0.158531 7.49258e-05 0.000139581 7.49258e-05 2.67257e-07  
33956 0 0 1 nan nan nan nan nan nan nan nan nan  
33956 1195 609 1 0.358141 0.0362852 0.000147893 0.0362852 0.26637 7.39654e-05 0.000147893 7.39654e-05 3.01472e-07  
33956 0 0 1 nan nan nan nan nan nan nan nan nan  
33957 1197 627 1 0.285683 0.0061246 0.000176324 0.0061246 0.140781 1.35754e-05 0.000176324 1.35754e-05 3.90829e-07  
33957 1195 634 1 0.371018 0.0709735 0.000199068 0.0709735 0.357965 0.000137742 0.000199068 0.000137742 3.86342e-07  
33957 0 0 1 nan nan nan nan nan nan nan nan nan  
33957 1193 652 1 0.327624 0.0267124 0.000168671 0.0267124 0.173847 5.32517e-05 0.000168671 5.32517e-05 3.36249e-07  
33958 0 0 1 nan nan nan nan nan nan nan nan nan  
33958 1198 667 1 0.276661 0.0113719 0.000137768 0.0113719 0.26507 2.3844e-05 0.000137768 2.3844e-05 2.88864e-07  
33958 1198 672 1 0.384501 0.00271262 0.000179951 0.00271262 0.236764 3.97247e-06 0.000179951 3.97247e-06 2.63527e-07  
33958 1197 684 1 0.311692 0.000925362 0.00016868 0.000925362 0.313919 2.08441e-06 0.00016868 2.08441e-06 3.79958e-07  
33959 1197 693 1 0.248123 -0.00522959 0.000107588 -0.00522959 0.102652 -8.47826e-06 0.000107588 -8.47826e-06 1.74422e-07  
33959 1200 698 1 0.214292 -0.0283296 9.80779e-05 -0.0283296 0.217223 -5.04559e-05 9.80779e-05 -5.04559e-05 1.7468e-07  
33959 1189 553 1 0.479924 0.00274553 1.60438e-05 0.00274553 23.5224 0.000131751 1.60438e-05 0.000131751 7.69896e-07  
33960 1197 722 1 0.118804 -0.0141563 5.53759e-05 -0.0141563 0.0704607 -2.45295e-05 5.53759e-05 -2.45295e-05 9.59532e-08  
33960 1190 591 1 0.571117 -0.00904161 1.53696e-05 -0.00904161 28.2337 -0.000448991 1.53696e-05 -0.000448991 7.6323e-07  
33960 1196 738 1 0.318039 -0.0450071 0.000141855 -0.0450071 0.164612 -6.53641e-05 0.000141855 -6.53641e-05 2.06017e-07  
33961 1189 581 1 0.642251 -0.00630777 1.28085e-05 -0.00630777 42.3809 -0.000443474 1.28085e-05 -0.000443474 9.00515e-07  
33961 1198 757 1 0.177845 -0.0422064 8.74783e-05 -0.0422064 0.192911 -7.22345e-05 8.74783e-05 -7.22345e-05 1.49715e-07  
33961 1192 511 1 0.44924 -0.00510313 3.3005e-06 -0.00510313 90.9918 -0.00103236 3.3005e-06 -0.00103236 6.67692e-07  
33961 1196 772 1 0.0963621 -0.023889 4.50036e-05 -0.023889 0.115898 -4.80163e-05 4.50036e-05 -4.80163e-05 9.04562e-08  
33962 1189 480 1 0.421625 -0.00449287 3.04083e-06 -0.00449287 85.3091 -0.000953401 3.04083e-06 -0.000953401 6.45273e-07  
33962 1195 789 1 0.135348 -0.0392685 6.96407e-05 -0.0392685 0.187934 -8.53863e-05 6.96407e-05 -8.53863e-05 1.51428e-07  
33962 1183 520 1 0.509975 0.00253373 1.35105e-05 0.00253373 25.0031 0.000140232 1.35105e-05 0.000140232 7.47758e-07  
33963 1195 811 1 0.18165 -0.0385458 8.53508e-05 -0.0385458 0.103651 -5.43743e-05 8.53508e-05 -5.43743e-05 1.20399e-07  
33963 1184 559 1 0.439992 -0.00446081 8.92884e-06 -0.00446081 29.0326 -0.000297412 8.92884e-06 -0.000297412 5.95305e-07  
33963 1193 827 1 0.173494 -0.0358609 8.1129e-05 -0.0358609 0.117307 -5.0625e-05 8.1129e-05 -5.0625e-05 1.1453e-07  
33963 1185 565 1 0.439081 -0.0107495 6.59258e-06 -0.0107495 45.3251 -0.0011421 6.59258e-06 -0.0011421 7.00437e-07  
33964 1184 816 1 0.397619 0.0171581 2.25593e-05 0.0171581 13.1882 0.000471258 2.25593e-05 0.000471258 6.19607e-07  
33964 0 0 1 nan nan nan nan nan nan nan nan nan  
33964 1190 860 1 0.234366 -0.0497374 9.81744e-05 -0.0497374 0.210969 -7.04579e-05 9.81744e-05 -7.04579e-05 1.39074e-07  
33965 1181 575 1 0.483871 -0.00261436 1.86139e-05 -0.00261436 18.8714 -0.000117739 1.86139e-05 -0.000117739 8.38287e-07  
33965 1188 876 1 0.118231 -0.035365 6.11579e-05 -0.035365 0.180764 -7.79165e-05 6.11579e-05 -7.79165e-05 1.34744e-07  
33965 1175 574 1 0.414811 -0.00302482 1.84418e-05 -0.00302482 16.1809 -0.000125693 1.84418e-05 -0.000125693 7.66329e-07  
33966 1187 894 1 0.107676 -0.0324529 6.04687e-05 -0.0324529 0.123957 -6.49268e-05 6.04687e-05 -6.49268e-05 1.20976e-07  
33966 0 0 1 nan nan nan nan nan nan nan nan nan  
33966 1186 915 1 0.105312 -0.0347023 5.4997e-05 -0.0347023 0.135546 -6.81006e-05 5.4997e-05 -6.81006e-05 1.07927e-07  
33966 1185 922 1 0.125287 -0.0406553 6.63012e-05 -0.0406553 0.185554 -8.39426e-05 6.63012e-05 -8.39426e-05 1.36895e-07  
33967 1171 574 1 0.450125 -0.00123424 1.68086e-05 -0.00123424 17.5446 -5.61691e-05 1.68086e-05 -5.61691e-05 7.64944e-07  
33967 1182 942 1 0.11818 -0.0344238 5.60843e-05 -0.0344238 0.189721 -6.67421e-05 5.60843e-05 -6.67421e-05 1.08738e-07  
33967 1171 616 1 0.475388 0.00372786 8.62424e-06 0.00372786 31.3324 0.000283894 8.62424e-06 0.000283894 6.56775e-07  
33968 1180 961 1 0.305927 -0.0602877 0.000123621 -0.0602877 0.352885 -9.82441e-05 0.000123621 -9.82441e-05 2.01451e-07  
33968 0 0 1 nan nan nan nan nan nan nan nan nan  
33968 1179 981 1 0.157228 -0.0346977 7.08622e-05 -0.0346977 0.177469 -6.23726e-05 7.08622e-05 -6.23726e-05 1.27382e-07  
33969 0 0 1 nan nan nan nan nan nan nan nan nan  
33969 1177 1000 1 0.106774 -0.0321596 6.0409e-05 -0.0321596 0.155901 -6.79314e-05 6.0409e-05 -6.79314e-05 1.27603e-07  
33969 1167 667 1 0.427356 -0.00575158 8.25161e-06 -0.00575158 28.3343 -0.00040024 8.25161e-06 -0.00040024 5.74211e-07  
33970 1174 1022 1 0.127683 -0.0287199 5.27361e-05 -0.0287199 0.184378 -5.3363e-05 5.27361e-05 -5.3363e-05 9.79865e-08  
33970 1164 744 1 0.407759 0.00927153 9.36378e-06 0.00927153 27.3945 0.000633571 9.36378e-06 0.000633571 6.39874e-07  
33970 1172 1047 1 0.134807 -0.0358863 6.72507e-05 -0.0358863 0.174692 -6.45922e-05 6.72507e-05 -6.45922e-05 1.21045e-07  
33971 1160 697 1 0.353479 0.00725013 6.76539e-06 0.00725013 35.7206 0.000684202 6.76539e-06 0.000684202 6.38457e-07  
33971 1170 1070 1 0.135123 -0.027796 5.47048e-05 -0.027796 0.124079 -4.49061e-05 5.47048e-05 -4.49061e-05 8.8379e-08  
33972 1157 792 1 0.340139 0.00818399 7.23149e-06 0.00818399 34.4316 0.000677279 7.23149e-06 0.000677279 5.98453e-07  
33972 1168 1090 1 0.107252 -0.0310322 5.16231e-05 -0.0310322 0.183735 -6.57572e-05 5.16231e-05 -6.57572e-05 1.09389e-07  
33972 1159 786 1 0.366963 0.0082523 9.24557e-06 0.0082523 24.5626 0.000531912 9.24557e-06 0.000531912 5.95934e-07  
33973 1166 1107 1 0.108991 -0.0323878 5.67136e-05 -0.0323878 0.110151 -5.50516e-05 5.67136e-05 -5.50516e-05 9.63997e-08  
33973 0 0 1 nan nan nan nan nan nan nan nan nan  
33973 1164 1111 1 0.103671 -0.0241093 5.92676e-05 -0.0241093 0.0995514 -4.37929e-05 5.92676e-05 -4.37929e-05 1.07655e-07  
33973 0 0 1 nan nan nan nan nan nan nan nan nan  
33974 1163 1110 1 0.184132 -0.0208192 7.91764e-05 -0.0208192 0.240781 -3.63141e-05 7.91764e-05 -3.63141e-05 1.38104e-07  
33974 1157 952 1 0.412712 0.00122024 7.58722e-06 0.00122024 40.8647 9.72911e-05 7.58722e-06 9.72911e-05 6.04938e-07  
33975 1156 1110 1 0.326538 0.0302921 0.000163244 0.0302921 0.246114 5.46068e-05 0.000163244 5.46068e-05 2.94276e-07  
33975 1149 1108 1 0.178359 0.0501829 8.62809e-05 0.0501829 0.172758 8.16008e-05 8.62809e-05 8.16008e-05 1.40299e-07  
33976 1162 1599 1 0.388008 0.0178152 -1.32571e-05 0.0178152 39.8066 -0.00105369 -1.32571e-05 -0.00105369 7.84096e-07  
33976 1157 1109 1 0.427325 0.0391991 0.000180477 0.0391991 0.537062 8.64794e-05 0.000180477 8.64794e-05 3.98161e-07  
33977 1151 1108 1 0.214222 0.057104 9.76704e-05 0.057104 0.249876 0.000107718 9.76704e-05 0.000107718 1.8424e-07  
33977 1165 1749 1 0.372378 -0.0110707 -1.18876e-05 -0.0110707 37.4419 0.000640809 -1.18876e-05 0.000640809 6.88095e-07  
33978 1151 1126 1 0.469722 0.073804 0.000195556 0.073804 0.400962 0.000130249 0.000195556 0.000130249 3.45119e-07  
33978 1142 1141 1 0.248902 0.0399878 8.38655e-05 0.0399878 0.155703 5.62861e-05 8.38655e-05 5.62861e-05 1.18047e-07  
33978 0 0 1 nan nan nan nan nan nan nan nan nan  
33979 1152 1165 1 0.289334 -0.0142187 0.000146126 -0.0142187 0.22568 -2.1023e-05 0.000146126 -2.1023e-05 2.16055e-07  
33979 1151 1183 1 0.187401 -0.0271588 8.28865e-05 -0.0271588 0.148639 -3.80495e-05 8.28865e-05 -3.80495e-05 1.16124e-07  
33980 1150 1157 1 0.283215 0.0791664 -0.00012632 0.0791664 0.46174 -0.00011926 -0.00012632 -0.00011926 1.90295e-07  
33980 1139 828 1 0.416654 0.00306623 9.03602e-06 0.00306623 27.4262 0.00021871 9.03602e-06 0.00021871 6.44529e-07  
